Designator,Mid X,Mid Y,Layer,Rotation
A,98.90,43.82,Bottom,180.0
A1,98.90,43.82,Top,0.0
B,98.90,27.30,Bottom,180.0
B1,98.90,27.30,Top,0.0
BOOT, 5.08,21.59,Top,180.0
C,98.90,10.79,Bottom,180.0
C1,34.29,-6.79,Top,180.0
C2,29.72,-23.24,Top,270.0
C3,54.93,-9.97,Top,0.0
C4,20.45,43.08,Top,180.0
C5,51.78,-14.29,Top,270.0
C6,34.29,-8.26,Top,0.0
C7,31.12,-23.62,Top,90.0
C8,46.99,-27.30,Top,180.0
C9,50.80,-18.99,Top,270.0
C10,46.61,-8.26,Top,0.0
C11,50.16,-14.26,Top,270.0
C12,46.93,-6.79,Top,0.0
C13,68.58,48.90,Top,180.0
C14,62.20,43.34,Top,180.0
C15,44.45,-6.35,Top,90.0
C16,56.52,37.94,Top,270.0
C17,62.23,40.64,Top,0.0
C18,81.92,36.96,Top,0.0
C19,81.92,50.67,Top,0.0
C20,68.58,32.38,Top,180.0
C21,62.23,26.67,Top,180.0
C22,43.18,-6.35,Top,90.0
C23,56.55,21.43,Top,270.0
C24,62.23,24.13,Top,0.0
C25,81.92,34.16,Top,0.0
C26,81.92,20.45,Top,0.0
C27,68.58,15.88,Top,180.0
C28,62.23,10.16,Top,180.0
C29,41.91,-6.35,Top,90.0
C30,56.52, 4.92,Top,270.0
C31,62.23, 7.62,Top,0.0
C32,81.92,17.65,Top,0.0
C33,82.04, 3.94,Top,0.0
C34,83.19,10.79,Bottom,0.0
C35,83.19,43.82,Bottom,0.0
C36,83.19,27.30,Bottom,0.0
C37,81.92,50.67,Bottom,0.0
C38,81.92,36.96,Bottom,0.0
C39,81.92,34.16,Bottom,0.0
C40,81.92,20.45,Bottom,0.0
C41,81.92,17.65,Bottom,0.0
C42,82.04, 3.94,Bottom,0.0
C43,52.71,-18.99,Top,270.0
C44,52.71,-16.76,Top,90.0
C45,68.58,54.10,Top,90.0
C46,68.58,57.44,Top,270.0
C47,26.29,29.97,Top,0.0
C48,27.94,26.67,Top,0.0
C49,42.55,46.74,Top,270.0
C50,45.09,46.74,Top,270.0
C51,32.89,52.96,Top,90.0
C52,26.29,34.29,Top,0.0
C53,32.38,40.01,Top,0.0
C54, 9.53,33.94,Top,270.0
C55, 9.53,39.72,Top,90.0
C56,26.29,31.62,Top,0.0
C57,50.80,-16.73,Top,0.0
C59, 8.89,-19.49,Top,90.0
C61, 6.35,-20.48,Top,90.0
C62,94.62,-20.32,Top,180.0
C63,93.98,-17.78,Top,180.0
C64, 5.71, 9.53,Top,180.0
C65,98.90,10.79,Top,0.0
D1,37.47,52.07,Top,180.0
D2,40.64,34.29,Top,0.0
D3,40.64,27.94,Top,0.0
D4,18.41,34.42,Top,180.0
D5,24.77,40.01,Top,90.0
D6,40.64,21.59,Top,0.0
D7, 1.91,55.25,Top,0.0
D8, 1.91,50.16,Top,0.0
D9, 1.91,45.09,Top,0.0
D10,40.64,41.27,Top,0.0
IC1,62.23,38.10,Top,180.0
IC2,62.23,21.59,Top,180.0
IC3,62.23, 5.08,Top,180.0
IC4,36.83,46.99,Top,0.0
J1, 2.62,36.83,Top,270.0
JP1,20.96,12.07,Top,0.0
JP2,96.52,-27.94,Top,90.0
JP3,91.44,-27.94,Top,90.0
JP4,37.85,-1.27,Top,0.0
JP5,58.42,-1.27,Top,0.0
JP6,39.37,12.07,Top,180.0
JP7, 3.81,-22.23,Top,270.0
JP8,91.44,-10.16,Top,270.0
JP9,96.52,-11.43,Top,270.0
JP10,41.91,-36.20,Top,180.0
JP11,14.99,39.24,Top,270.0
JP12,67.95,-12.07,Top,270.0
L1,27.94,50.16,Top,270.0
NRST, 5.08,13.97,Top,180.0
PAD1,79.38,56.52,Bottom,180.0
PAD2,87.63,56.52,Top,0.0
PAD3,87.63,56.52,Bottom,180.0
PAD4,79.38,56.52,Top,0.0
Q1,80.65,46.74,Top,180.0
Q2,80.65,40.89,Top,180.0
Q3,87.00,48.01,Top,270.0
Q4,87.00,39.62,Top,90.0
Q5,80.65,30.23,Top,180.0
Q6,80.65,24.38,Top,180.0
Q7,87.00,31.50,Top,270.0
Q8,87.00,23.11,Top,90.0
Q9,80.65,13.72,Top,180.0
Q10,80.65, 7.87,Top,180.0
Q11,87.00,14.99,Top,270.0
Q12,87.00, 6.60,Top,90.0
R1,68.58,46.99,Top,0.0
R2,68.58,44.45,Top,0.0
R3,93.98,45.85,Top,0.0
R4,93.98,41.78,Top,0.0
R5,59.69, 1.27,Top,90.0
R6,68.58,30.48,Top,0.0
R7,68.58,27.94,Top,0.0
R8,93.98,29.34,Top,0.0
R9,93.98,25.27,Top,0.0
R10,57.15, 1.27,Top,90.0
R11,68.58,13.97,Top,0.0
R12,68.58,11.43,Top,0.0
R13,93.98,12.83,Top,0.0
R14,93.98, 8.76,Top,0.0
R15,54.61, 1.27,Top,90.0
R16,18.41,51.44,Top,90.0
R17,14.61,51.44,Top,270.0
R18, 2.22,28.89,Top,270.0
R19, 6.67,28.89,Top,270.0
R20, 5.08,29.21,Top,90.0
R21, 3.81,29.21,Top,90.0
R22,16.51,51.44,Top,270.0
R23,48.59,53.05,Top,180.0
R24,48.59,51.44,Top,180.0
R27,22.23, 8.89,Top,90.0
R29,87.63,-30.48,Top,0.0
R30,87.63,-27.94,Top,0.0
R31,87.63,-25.40,Top,0.0
R32,24.77, 8.89,Top,90.0
R33, 5.71,18.41,Top,180.0
R34, 5.71,10.79,Top,180.0
R35, 5.71,-14.61,Top,180.0
R36, 5.71,-6.99,Top,180.0
R37, 5.71, 0.64,Top,180.0
R38,44.45,21.59,Top,0.0
R39,44.45,27.94,Top,0.0
R40,44.45,34.29,Top,0.0
R41, 5.71,55.25,Top,0.0
R42, 5.71,50.16,Top,0.0
R43, 5.71,45.09,Top,0.0
R44,44.45,41.27,Top,0.0
R45,52.71,56.52,Top,270.0
S1, 5.08,-11.43,Top,180.0
S2, 5.08,-3.81,Top,180.0
S3, 5.08, 3.81,Top,180.0
SJ1,14.61,47.63,Bottom,0.0
SJ4,21.59,40.01,Top,270.0
SJ5,83.82,-22.86,Bottom,0.0
SJ6,62.96,53.31,Bottom,0.0
SJ9,83.82,-17.78,Bottom,0.0
U1,40.64,-17.78,Top,180.0
U2,55.25,-12.57,Top,0.0
U3,62.23,46.99,Top,180.0
U4,55.25,48.90,Top,0.0
U5,55.25,45.09,Top,0.0
U6,62.23,30.48,Top,180.0
U7,55.25,33.66,Top,0.0
U8,55.25,29.85,Top,0.0
U9,62.23,13.97,Top,180.0
U10,55.25,17.14,Top,0.0
U11,55.25,13.34,Top,0.0
U12,60.96,55.63,Top,180.0
U13,19.69,28.58,Top,180.0
U17,82.55,-26.16,Top,180.0
Y1,55.18,-17.14,Top,90.0
