Comment,Designator,Footprint,LCSC Part #
,JP1,1X04,
,JP6,1X04,
,JP7,1X04,
,JP12,1X04,
,JP2,1X05,
,JP3,1X05,
,JP8,1X05,
,JP5,1X06,
,JP9,1X06,
,JP4,1X08,
,JP10,2X30,
,JP11,JP1,
,SJ4,SJ,
,SJ1,SJ_2,
,SJ5,SJ_2,
,SJ6,SJ_2,
,SJ9,SJ_2,
0,R45,1206,C17888
0.1uF,C4 C6 C7 C8 C9 C10 C11 C15 C16 C17 C22 C23 C24 C29 C30 C31 C46 C54 C55 C56 C61 C62 C63 C64,0402,
0.1uF 35V,C13 C20 C27,0603,
0.01uF,C51,0603,
1,R1 R2 R6 R7 R11 R12,0603,
1.6k,R16,0603,
1k,R38 R39 R40 R42 R43 R44,0402,
1m,R3 R4 R8 R9 R13 R14,2512,C7370895
1nF,C57,0402,
1uF 35V,C3 C5 C45 C47,0603,
2.2uF,C1 C2,0603,
2.2uF 16V,C14 C21 C28,0603,
2.4M,R22,0603,
3.3k,R29 R30 R31,0402,
4.7uF,C12,0603,
5.1k,R17 R18 R19,0603,
8.2k,R23,0603,
10,R5 R10 R15,0402,
10k,R33 R35 R36 R37,0402,
10uF 35V,C49 C50,0805,
10uF,C48 C52,CAPMP3216X180N,C7171 ASYI
12k,R41,0402,
12pF,C43 C44,0402,
15uH,L1,SMD6.6X7.3MM,C2847544
22,R20 R21 R27 R32,0402,
22uF 35V,C18 C19 C25 C26 C32 C33 C37 C38 C39 C40 C41 C42 C59,1206,
75k,R24,0603,
220uF,C53,CAPAE660X800N, C72494
470uF 35V,C34 C35 C36,CAPAE1030X1050N,C2980172
AMS1117-3.3,U13,SOT229P700X180-4N,C6186
B340A,D1 D4 D5,DIOM5226X240N,C8678
BSC011N03LSI_FL,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12,TDSON-8FL,C534283
CRISTAL_25MHZ_3225,Y1,SMD3225-4P,C9006
INA240A1PW,IC1 IC2 IC3,SOP65P640X120-8N,C93965
L78M12CDT-TR,U12,VREG_L78M12CDT-TR,C16424
LED_BLUE,D2 D3 D6 D7 D8 D9 D10,LEDC2012X110N_FLAT-B,C2297
NC,R34,0402,
PAD1.27X2.54,A A1 B B1 C C65,SMD1 27-2 54,
PAD2.54X5.08,PAD1 PAD2 PAD3 PAD4,SMD2 54-5 08,
REF3033AIDBZR,U2,SOT95P237X112-3N,C36658
SN74LVC1G08DBVR,U4 U5 U7 U8 U10 U11,SOT95P280X145-5N,C7666
SN74LVC1G86DBVR,U17,SOT95P280X145-5N,C402161
STM32H743VIT6,U1,LQFP100,C114409
TPS5430DDAR,IC4,SOIC127P600X170-9N,C9864
TS-1088,BOOT NRST S1 S2 S3,SKRKAEE020,C720477
TYPE-C_16PIN_2MD__073_C,J1,GCT_USB4105-GF-A,
UCC27211AQDDARQ1,U3 U6 U9,SOIC127P600X170-9N,C485921
